"id","name","description","video_link","country","country_code","logo","website","channel","external"
"1","10TV News Telugu","10 TV is a Telugu News Channel presenting Telangana news, Andhra Pradesh News, Weather Reports, sports, entertainment and more. The channel started broadcasting in 2013. The headquarter is based in Hyderabad, Telangana.","https://www.youtube.com/watch?v=vgI6w2I99F8","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/10tv-50x35-1.jpg","http://www.10tv.in/",,NULL
"2","112 Ukraine","112 Ukraine TV is an information-educational channel, which began broadcasting on November 28, 2013. The channel provides Top News of politics, economy, information about the situation in the zone of the ATO. Exclusive interviews and comments of politicians, public and cultural figures, economists, political scientists, and the Ukrainian military. Local Events and exclusive reports from the scene of journalists channel 112 Ukraine.","http://112.ua/extlive?source_type=iframe","Ukraine","ua","https://webradiodirectory.com/wp-content/uploads/2021/02/112-Ukraine-50x35-1.jpg","https://112.ua/","https://www.youtube.com/channel/UC-l6fZMH7JLumIR-9o7xrQg/videos",NULL
"3","1st India News","1st India is a media channel, which is a hand offered to the people of Rajasthan, who live in Rajasthan and beyond. Acknowledging the news requirement in the innermost part of the desert state of Rajasthan, 1st India was pioneered by Mr. Virendra Choudhary in November 2013. What accelerated the initiative was the desire to bring forth news that is democratic, of the people, for the people, by the people, which would fulfill the expectations of the generation, blending enthusiasm with experience.","http://live.wmncdn.net/firstindianewstv1/live.stream/index.m3u8","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/1st-India-News-60x44-1.jpg","http://www.firstindianews.com/","https://www.youtube.com/user/firstindiatv/videos",NULL
"4","24 News Live","Watch live Malayalam News updates on 24 Live HD stream. 24 News is a 24-hour Malayalam news channel owned by Insight Media City.","https://www.youtube.com/watch?v=zcrUCvBD16k","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/34news-50x35-1.jpg","http://www.twentyfournews.com","https://www.youtube.com/channel/UCup3etEdjyF1L3sRbU-rKLw",NULL
"5","24 TV","24 TV Live (Yirmidort TV) is a general satellite TV channel based in Istanbuk. The channel offers news and documentaries. The channel is part of STAR Media Publishing Inc.","http://www.yirmidort.tv/","Turkey","tr","https://webradiodirectory.com/wp-content/uploads/2021/02/24-TV-48x35-1.jpg","http://www.yirmidort.tv/","https://www.youtube.com/channel/UCN7VYCsI4Lx1-J4_BtjoWUA","1"
"6","24 TV","24 TV is the first 24/7 News TV channel from the Ukraine. The channel was founded in 2006. It claims to present an objective and unbiased presentation of news, interesting and useful information for the viewer of the day. 24 TV delivers news in 30-minute blocks of information: recent developments in the political arena, Ukraine and the world economic news, sport, showbiz, technology, auto, tourism. In addition, the viewer is informed about the weather, exchange rates and press reviews.","https://www.youtube.com/watch?v=iClrY6Jk6cM","Ukraine","ua","https://webradiodirectory.com/wp-content/uploads/2021/02/24-tv-ukraine-50x35-1.jpg","http://24tv.ua/","https://www.youtube.com/user/news24/videos",NULL
"7","3 Sat","3sat is a public, advertising-free, German-language television network. It is primarily aimed at audiences in Germany, Austria and Switzerland.","http://www.3sat.de/mediathek/?mode=play&obj=42667","Austria","at","https://webradiodirectory.com/wp-content/uploads/2021/02/3sat-50x35-1.jpg","http://www.3sat.de",,"1"
"8","8XM","8XM is one of the most well-known music channels of Pakistan. 8XM has a wide range of top rated TV programs which are watched and loved by millions of Pakistani viewers every day.","https://www.mjunoon.tv/embedplayer/8xm-live.html?source_type=iframe","Pakistan","pk","https://webradiodirectory.com/wp-content/uploads/2021/02/8xm1.jpg","http://8xm.tv/","https://www.youtube.com/user/8XMPakistan/videos",NULL
"9","92 News HD","Watch 92 News HD official stream online. Channel 92 News HD is a Pakistani news channel which broadcasts current affairs, entertainment shows, sports, crime & morning shows.","https://www.youtube.com/watch?v=FEI8hxkeJvk","Pakistan","pk","https://webradiodirectory.com/wp-content/uploads/2021/02/92-news-50x35-1.jpg","http://www.92newshd.tv/","https://www.youtube.com/channel/UCsgC5cbz3DE2Shh34gNKiog/videos",NULL
"10","9XM Music","Bollywood Music at its best, that’s what 9XM is all about. We play it all, without any specific genre, 9XM is known for pure music pleasure. 9XM play what India wants to listen. 9XM is your music channel, which offers unadulterated Bollywood music.","http://9xm.in/livetv.php","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/9XM-60x42-1.jpg","http://www.9xm.in/","https://www.youtube.com/user/9XM/videos","1"
"11","A Haber","Watch A Haber Live Stream. A Haber is a private News TV channel. It was founded in 2011. It was Turkey’s first TV channel broadcasting in High Definition.","https://www.youtube.com/watch?v=nhIGJcvgQJo","Turkey","tr","https://webradiodirectory.com/wp-content/uploads/2021/02/A-Haber-50x35-1.jpg","https://www.ahaber.com.tr/","https://www.youtube.com/channel/UCKQhfw-lzz0uKnE1fY1PsAA",NULL
"12","A Spor","A spor is a 24/7 sports TV channel. It is a sister channel of ATV owned by the Kalyon Group. The headquarter of A Spor is based in Istanbul.","https://www.youtube.com/watch?v=Pwiw4UTlRx0","Turkey","tr","https://webradiodirectory.com/wp-content/uploads/2021/02/A-Spor-48x35-1.jpg","https://www.aspor.com.tr/","https://www.youtube.com/channel/UCJElRTCNEmLemgirqvsW63Q",NULL
"13","AAJ Entertainment","Aaj Entertainment is a Pakistani entertainment channel owned by Recorder Television Network. This channel was launched on 15 December 2015. Like other entertainment channels of Pakistan, Aaj Entertainment is also airing Indian and Turkish content but its main focus is on local dramas.","http://aajentertainment.tv/","Pakistan","pk","https://webradiodirectory.com/wp-content/uploads/2021/02/ajj-ent-50x35-1.jpg","http://aajentertainment.tv/",,"1"
"14","Aaj News","Aaj News provides round the clock news coverage from around the world. The superior news reporting comes with unmatched analytical strength provided by the most respected social and political commentators in Pakistan. Our mission is to dispense unadulterated information through easily accessible mediums.","https://www.youtube.com/watch?v=iJ_z520N3E4","Pakistan","pk","https://webradiodirectory.com/wp-content/uploads/2021/02/aaj-56x43-1.jpg","http://aaj.tv/","https://www.youtube.com/channel/UC8M839hxhr8YauX0adskI5g",NULL
"15","Aaj Tak","Watch Aaj Tak Live online. Aaj Tak is a 24-hour Hindi news television channel owned by TV Today Network Ltd. Aaj Tak Live TV shows Latest News, Breaking News in Hindi, Daily News and News Headlines from India current affairs, cricket, sports, business and much more.","https://www.youtube.com/watch?v=kw-_ZTRv8Uw","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/aajtak-50x35-1.jpg","http://aajtak.intoday.in/","https://www.youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA",NULL
"16","Abb Takk","Abb Takk is a Pakistani news channel licensed by APNA Network which also owns the music channel 8XM and Apna News a Punjabi News Channel. The idea behind ‘Abb Takk’ is to give ’Breaking News at lightning speed with accuracy’ & ‘Solid Current Affairs & infotainment’ for every strata of society.","https://www.mjunoon.tv/embedplayer/abb-takk-news-live.html?source_type=iframe","Pakistan","pk","https://webradiodirectory.com/wp-content/uploads/2021/02/abtak-58x43-1.jpg","http://www.abbtakk.tv/","http://www.dailymotion.com/user/abbtakktv/1",NULL
"17","ABC 7 SWFL","ABC 7 or WZVN-TV is an ABC affiliated TV channel serving Fort Myers. The channel was founded in 1974. It offers mainly local newscasts.","https://www.youtube.com/watch?v=IukZ7gOGPj8","United States","us","https://webradiodirectory.com/wp-content/uploads/2021/02/ABC7-48x35-1.jpg","http://www.abc-7.com/",,NULL
"18","ABC News","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC News.","https://abcnews.go.com/Live","United States","us","https://webradiodirectory.com/wp-content/uploads/2021/02/abc-50x35-1.jpg","http://abcnews.go.com/","https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q","1"
"19","ABC News Australia","Watch ABC News Australia live stream. ABC News shows selected news and current affairs items from across the Australian Broadcasting Corporation.","https://www.youtube.com/watch?v=W1ilCy6XrmI","Australia","au","https://webradiodirectory.com/wp-content/uploads/2021/02/abc-australia-50x35-1.jpg","http://www.abc.net.au/news",,NULL
"20","ABN","ABN Andhrajyothy, is a 24/7 news channel dedicated to live reports, exclusive interviews, breaking news, sport, weather, entertainment, business updates and current affairs. Its headquarters is in Jubliee Hills, Hyderabad,Telangana ,India.","https://www.youtube.com/watch?v=fLeO9iDkE4k","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/ABN-53x43-1.jpg","http://www.andhrajyothy.com/","https://www.youtube.com/channel/UC_2irx_BQR7RsBKmUV9fePQ",NULL
"21","ABNSAT","ABN Sat or Aramaic Broadcasting Network is a non-denominational ministry committed to presenting the Word of God and its transforming message of Jesus Christ to Arabic, Aramaic, Kurdish and English-speaking people worldwide through media. The channel is based in Walled Lake, Michigan. On the website also the following channels are available: Surath, Trinity, Al Quddoos, Worship, Kurdish, Prayer and ABN Europe&Middle East.","http://rtmp1.abnsat.com/hls/arabic.m3u8","United Arab Emirates","ae","https://webradiodirectory.com/wp-content/uploads/2021/02/ABNSAT-50x35-1.jpg","http://www.abnsat.com/",,NULL
"22","ABP Ananda","ABP Ananda is a Bengali language television news channel headquartered in Kolkata, the Capital of the State West Bengal. The channel was launched as Star Ananada in 2005.","https://www.youtube.com/watch?v=Yz_7UGBhUVg","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/star-ananda-50x35-1.jpg","http://www.abpananda.newsbullet.in/","http://www.youtube.com/abpanandatv/videos",NULL
"23","ABP Majha","ABP Majha (ABP माझा) is a 24-hour Marathi news channel in India. The Mumbai-based company launched on 22 June 2007. The channel is owned by ABP Group. Rajiv Khandekar is the executive editor at the news channel’s Mumbai headquarters. Star Majha was renamed as ABP Majha on 1 June 2012. Saat Barachya Batmya (सात बाराच्या बातम्या) and माझा कट्टा (Majha Katta) are unique programme on the channel.","https://www.youtube.com/watch?v=6HNZGyPUEEY","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/abpmajha-50x35-1.jpg","https://abpmajha.abplive.in/",,NULL
"24","ABP News","ABP News features breaking news on sports, business, politics, and Bollywood. Get in-depth coverage of news from India and around the world. ABP News is owned by ABP Group. It was earlier known as STAR News and was owned by a joint venture between News Corporation owned STAR TV/Fox International Channels.","https://abp-i.akamaihd.net/hls/live/765529/abphindi/masterhls_1564.m3u8","India","in","https://webradiodirectory.com/wp-content/uploads/2021/02/abp-50x35-1.jpg","http://www.abplive.in/","https://www.youtube.com/user/abpnewstv/videos",NULL
"25","Adom TV","Adom TV is a TV channel from Ghana that provides promotion of tradition and culture, politics, local movies and a wide variety of entertainment shows.","https://www.youtube.com/watch?v=wsch3q5D74I","Ghana","gh","https://webradiodirectory.com/wp-content/uploads/2021/02/adom-tv-60x44-1.jpg","http://www.multitvworld.com","https://www.youtube.com/channel/UCKlgbbF9wphTKATOWiG5jPQ",NULL
"26","Afghan TV","Afghan TV brings music and healthy entertainment to the Afghan people living in Pakistan.","https://www.mjunoon.tv/embedplayer/afghan-tv-live.html?source_type=iframe","Afghanistan","af","https://webradiodirectory.com/wp-content/uploads/2021/02/Afghan-TV-50x35-1.jpg",,,NULL
"27","Africa 24","In 2010, AFRICA 24 officially became the first global news channel on Africa and especially the most-watched satellite channel in Francophone Africa.","https://www.youtube.com/watch?v=L5Ppr0JvPws","Africa","za","https://webradiodirectory.com/wp-content/uploads/2021/02/Africa-24-50x35-1.jpg","http://www.africa24tv.com/","https://www.youtube.com/user/Africa24/videos",NULL
